koi_period,koi_depth,koi_prad,koi_teq,koi_steff,koi_srad,koi_model_snr,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_eqt,target,lightcurve_file
9.02930689,1019.8,2.57,757.0,5349.0,0.82,53.9,0.0848610437531087,2.57,32.86643176996182,10.674844584608554,757.0,1,/content/drive/MyDrive/Data/kepler_3641726_lightcurve.csv
1.08749101,126.4,4.91,3081.0,5988.0,3.204,33.5,0.0206961331577582,4.91,360.5799057334871,16.794435817646058,3081.0,0,/content/drive/MyDrive/Data/kepler_5212220_lightcurve.csv
41.7084063,330.0,2.19,608.0,6434.0,1.138,24.3,0.2353718332770824,2.19,18.182065791057816,9.543754405872516,608.0,1,/content/drive/MyDrive/Data/kepler_4282191_lightcurve.csv
0.957823876,104690.0,110.91,2649.0,5908.0,2.033,454.1,0.0190164391793538,110.91,36846107.054072015,148.89765847605565,2649.0,0,/content/drive/MyDrive/Data/kepler_4840263_lightcurve.csv
4.64090031,2450.6,30.09,1155.0,6463.0,0.826,296.9,0.0544511328138311,30.09,295231.0931838274,59.7453219727963,1155.0,1,/content/drive/MyDrive/Data/kepler_4936180_lightcurve.csv
4.11585514,425.8,1.93,895.0,4827.0,0.823,20.8,0.0502626613645449,1.93,11.391005022000982,8.735715682718771,895.0,1,/content/drive/MyDrive/Data/kepler_5184911_lightcurve.csv
106.25976,354.0,1.5,303.0,4827.0,0.823,7.7,0.4390540424083921,1.5,4.482679184808753,7.322717092722457,303.0,1,/content/drive/MyDrive/Data/kepler_5184911_lightcurve.csv
46.151253,649.0,2.08,423.0,5204.0,0.769,17.1,0.2518031105471361,2.08,15.02568705363105,9.20561290650874,423.0,1,/content/drive/MyDrive/Data/kepler_4846856_lightcurve.csv
0.996864568,86.7,0.77,1588.0,5418.0,0.782,21.4,0.0195297282210277,0.77,0.3802031258767662,4.591471385812132,1588.0,0,/content/drive/MyDrive/Data/kepler_3336845_lightcurve.csv
8.45746636,1320.3,1.87,540.0,4347.0,0.524,21.8,0.0812391951893286,1.87,10.134771096536456,8.544713371274723,540.0,1,/content/drive/MyDrive/Data/kepler_4263293_lightcurve.csv
17.28116957,1562.8,2.04,425.0,4347.0,0.524,20.3,0.130813986493477,2.04,13.984006574641835,9.081330715577373,425.0,1,/content/drive/MyDrive/Data/kepler_4263293_lightcurve.csv
32.1340014,1262.0,1.84,346.0,4347.0,0.524,11.8,0.1978101771243282,1.84,9.54609924468016,8.448524165033303,346.0,1,/content/drive/MyDrive/Data/kepler_4263293_lightcurve.csv
4.11497357,154.1,1.17,1137.0,6011.0,0.927,9.7,0.0502554839761596,1.17,1.7876713847955272,6.153730572834764,1137.0,1,/content/drive/MyDrive/Data/kepler_2860656_lightcurve.csv
231.364508,1488.0,2.45,202.0,4691.0,0.604,9.2,0.7375700128399322,2.45,27.5368660591045,10.323444648655933,202.0,0,/content/drive/MyDrive/Data/kepler_3459529_lightcurve.csv
2.97600846,103.2,2.27,1892.0,6208.0,2.088,25.9,0.0404912826256929,2.27,20.76326618331258,9.786479135592996,1892.0,0,/content/drive/MyDrive/Data/kepler_3337432_lightcurve.csv
28.597880332,85952.0,74.25,1014.0,6590.0,2.474,2526.2,0.1830183585711556,74.25,8347893.398783976,112.43354267689772,1014.0,0,/content/drive/MyDrive/Data/kepler_2998124_lightcurve.csv
143.196381,618.1,6.64,380.0,6007.0,1.06,17.4,0.5356652265284964,6.64,1101.5948417617292,20.74560143970625,380.0,0,/content/drive/MyDrive/Data/kepler_4669402_lightcurve.csv
36.616669,237.4,1.68,548.0,5780.0,1.0,3.4,0.2158032507842132,1.68,6.817801339467652,7.92729229362052,548.0,0,/content/drive/MyDrive/Data/kepler_4571004_lightcurve.csv
21.131609,73.5,0.94,659.0,5780.0,1.0,6.5,0.149586983278727,0.94,0.7953770549909761,5.27956172873816,659.0,0,/content/drive/MyDrive/Data/kepler_4571004_lightcurve.csv
81.675841,143.4,1.31,420.0,5780.0,1.0,7.0,0.3684126237525684,1.31,2.7158375826024197,6.660368857342282,420.0,0,/content/drive/MyDrive/Data/kepler_4571004_lightcurve.csv
28.5463574,153.3,1.35,596.0,5780.0,1.0,10.1,0.1827984710348469,1.35,3.035532894306893,6.802084339099576,596.0,0,/content/drive/MyDrive/Data/kepler_4571004_lightcurve.csv
72.563291,332.3,1.99,436.0,5780.0,1.0,6.4,0.340473572086285,1.99,12.757229918530028,8.924944579533348,436.0,0,/content/drive/MyDrive/Data/kepler_4571004_lightcurve.csv
14.2651545,66.3,1.06,853.0,5825.0,1.291,13.9,0.1151126573000049,1.06,1.2405997847581895,5.742783979736491,853.0,1,/content/drive/MyDrive/Data/kepler_5308537_lightcurve.csv
1.970340203,403.2,3.97,1599.0,4883.0,1.667,56.3,0.0307585769472521,3.97,164.25737384437065,14.473105546021817,1599.0,1,/content/drive/MyDrive/Data/kepler_3338885_lightcurve.csv
5.05821338,748.3,10.69,1168.0,4883.0,1.667,43.2,0.0576682612197543,10.69,6415.307963232477,28.95294652060424,1168.0,1,/content/drive/MyDrive/Data/kepler_3338885_lightcurve.csv
15.039464523,66877.0,51.71,877.0,6410.0,1.178,1133.5,0.1192413841572136,51.71,2188899.337220522,87.27915861749982,877.0,0,/content/drive/MyDrive/Data/kepler_5021732_lightcurve.csv
25.951984,2340.2,36.8,626.0,5889.0,1.046,131.4,0.1715480567435941,36.8,621780.258499342,68.7862838609158,626.0,0,/content/drive/MyDrive/Data/kepler_3858879_lightcurve.csv
9.892240848,5283.2,40.38,907.0,6225.0,1.009,314.0,0.0901851878211481,40.38,876628.0522681734,73.40485662422468,907.0,0,/content/drive/MyDrive/Data/kepler_3971315_lightcurve.csv
0.594276199,220740.0,266.99,1564.0,4756.0,0.667,285.2,0.0138334652756623,266.99,950673707.2125794,275.3942518619005,1564.0,0,/content/drive/MyDrive/Data/kepler_3954227_lightcurve.csv
21.41624083,314.5,2.09,748.0,6156.0,1.18,42.7,0.1509272251996868,2.09,15.294710415027115,9.236571039321497,748.0,1,/content/drive/MyDrive/Data/kepler_3964109_lightcurve.csv
2.1890751,94.8,0.87,1399.0,6077.0,0.891,12.6,0.0329948278676195,0.87,0.5973395008207247,5.00117269443618,1399.0,0,/content/drive/MyDrive/Data/kepler_4544684_lightcurve.csv
22.36646466,986.8,2.32,536.0,5395.0,0.734,32.1,0.1553592043363722,2.32,22.506374653334525,9.93687814014008,536.0,1,/content/drive/MyDrive/Data/kepler_4476123_lightcurve.csv
129.847318,198.4,1.45,385.0,6133.0,1.032,11.1,0.5018347703873254,1.45,3.954227100762263,7.150986794913562,385.0,1,/content/drive/MyDrive/Data/kepler_5193439_lightcurve.csv
73.26417,38.4,1.32,584.0,5424.0,2.11,3.0,0.3426624498959367,1.32,2.7933383601863118,6.695917997177921,584.0,0,/content/drive/MyDrive/Data/kepler_4577484_lightcurve.csv
2.72288246,152.6,1.06,1162.0,5458.0,0.872,15.5,0.0381614342897917,1.06,1.2405997847581895,5.742783979736491,1162.0,0,/content/drive/MyDrive/Data/kepler_4858610_lightcurve.csv
0.8903331,134.1,20.96,5714.0,4981.0,18.374,10.8,0.0181123070776399,20.96,77472.52837925917,46.38550288415431,5714.0,0,/content/drive/MyDrive/Data/kepler_4862332_lightcurve.csv
0.497581917,140.6,0.76,1801.0,5271.0,0.63,17.1,0.0122889606128943,0.76,0.3622515825595373,4.549648962845571,1801.0,0,/content/drive/MyDrive/Data/kepler_4381282_lightcurve.csv
1.337561836,41.0,1.11,2322.0,6406.0,1.715,9.5,0.0237582622649672,1.11,1.471278950229015,5.9310892552540135,2322.0,0,/content/drive/MyDrive/Data/kepler_5273713_lightcurve.csv
16.85592593,871.5,1.7,408.0,3967.0,0.587,19.5,0.1286590980304731,1.7,7.122968259511274,7.993235701494663,408.0,1,/content/drive/MyDrive/Data/kepler_2161536_lightcurve.csv
1.838514245,118960.0,57.6,1572.0,5799.0,1.055,470.0,0.0293708664878952,57.6,3262595.168133728,94.12481007722155,1572.0,0,/content/drive/MyDrive/Data/kepler_2309587_lightcurve.csv
271.790292,318.4,2.38,354.0,6484.0,1.32,8.1,0.8211605050156201,2.38,24.73630009955387,10.116079750058276,354.0,1,/content/drive/MyDrive/Data/kepler_4833409_lightcurve.csv
0.7088055,17575.0,41.08,2035.0,5989.0,0.908,195.6,0.0155581090846558,41.08,934184.3968165884,74.29330503751261,2035.0,0,/content/drive/MyDrive/Data/kepler_3245661_lightcurve.csv
569.45051,425.4,1.96,225.0,6117.0,0.947,8.2,1.344547296532559,1.96,12.060004337957892,8.830547367549437,225.0,1,/content/drive/MyDrive/Data/kepler_3548622_lightcurve.csv
0.730947169,248.0,14.43,1777.0,5514.0,0.826,49.1,0.0158804480678269,14.43,19466.39022559481,35.718631089257656,1777.0,0,/content/drive/MyDrive/Data/kepler_3228804_lightcurve.csv
