kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
9521317,K07940.01,,CANDIDATE,CANDIDATE,0.896,0,0,0,0,188.881049,0.001156,-0.001156,280.06822,0.00328,-0.00328,0.504,0.452,-0.299,1.49,0.124,-0.124,325.8,30.6,-30.6,1.86,0.41,-0.19,330.0,,,2.79,1.83,-0.82,12.9,1.0,q1_q17_dr25_tce,6077.0,163.0,-199.0,4.471,0.052,-0.157,0.999,0.22,-0.102,289.67508,46.131882,12.85
9527334,K00049.01,Kepler-461 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.31377304,4.206e-05,-4.206e-05,175.99137,0.00402,-0.00402,0.002,0.432,-0.002,2.964,0.125,-0.125,837.4,49.1,-49.1,2.74,0.43,-0.13,886.0,,,145.51,64.54,-23.61,19.6,1.0,q1_q17_dr25_tce,5900.0,105.0,-117.0,4.509,0.021,-0.119,0.951,0.152,-0.045,292.24902,46.164822,13.704
9527915,K00165.01,Kepler-478 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,13.22175358,1.342e-05,-1.342e-05,139.570627,0.000829,-0.000829,0.451,0.007,-0.445,2.7884,0.0322,-0.0322,876.5,11.0,-11.0,2.38,0.18,-0.12,640.0,,,39.56,9.88,-6.43,93.6,1.0,q1_q17_dr25_tce,5211.0,103.0,-103.0,4.556,0.032,-0.059,0.799,0.06,-0.038,292.48694,46.196209,13.938
9528420,K01742.01,,FALSE POSITIVE,FALSE POSITIVE,0.234,0,1,0,0,4.70847097,1.31e-06,-1.31e-06,134.153065,0.000231,-0.000231,0.418,0.031,-0.001,6.0503,0.0179,-0.0179,32622.0,64.7,-64.7,19.58,6.01,-2.58,1202.0,,,493.0,444.95,-168.38,607.2,1.0,q1_q17_dr25_tce,6214.0,169.0,-206.0,4.391,0.087,-0.203,1.061,0.326,-0.14,292.65988,46.159538,14.417
9528430,K03489.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,90.08255562,1.345e-05,-1.345e-05,173.987561,0.000109,-0.000109,0.099,0.009,-0.017,19.7301,0.00869,-0.00869,43252.0,14.5,-14.5,49.2,9.2,-17.07,666.0,,,46.58,26.41,-28.78,3571.6,1.0,q1_q17_dr25_tce,6523.0,176.0,-176.0,3.835,0.292,-0.097,2.343,0.438,-0.813,292.66357,46.114941,12.963
9529148,K07942.01,,FALSE POSITIVE,FALSE POSITIVE,0.293,1,0,0,0,25.3428696,0.0002442,-0.0002442,132.6844,0.00937,-0.00937,0.554,0.012,-0.473,1.51,0.296,-0.296,230.5,41.6,-41.6,1.85,0.55,-0.23,706.0,,,58.81,50.63,-19.5,7.5,1.0,q1_q17_dr25_tce,6311.0,151.0,-227.0,4.398,0.052,-0.195,1.172,0.353,-0.141,292.9418,46.193691,15.0
9529294,K07184.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,2.51690133,2.926e-05,-2.926e-05,133.49353,0.00972,-0.00972,0.093,0.363,-0.092,2.521,0.249,-0.249,59.6,6.9,-6.9,0.97,0.28,-0.28,1430.0,,,986.6,863.0,-540.86,10.0,1.0,q1_q17_dr25_tce,5403.0,164.0,-147.0,4.201,0.282,-0.188,1.284,0.372,-0.372,293.013,46.166561,14.587
9529733,K03600.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,4.80912667,1.631e-05,-1.631e-05,134.07939,0.00279,-0.00279,0.471,0.003,-0.005,7.9331,0.0124,-0.0124,134090.0,168.0,-168.0,44.3,14.47,-5.17,1270.0,,,615.74,593.32,-204.35,1033.2,1.0,q1_q17_dr25_tce,6462.0,179.0,-246.0,4.371,0.07,-0.21,1.166,0.381,-0.136,293.2088,46.173061,14.038
9529744,K01806.02,Kepler-320 c,CONFIRMED,CANDIDATE,0.971,0,0,0,0,17.9346606,0.0001463,-0.0001463,138.21679,0.00583,-0.00583,0.976,0.048,-0.714,6.25,0.167,-0.167,142.7,7.4,-7.4,2.8,0.65,-0.79,1002.0,,,238.78,164.48,-128.98,18.8,2.0,q1_q17_dr25_tce,6426.0,175.0,-175.0,4.013,0.259,-0.13,1.775,0.411,-0.503,293.21356,46.175129,13.474
9529744,K01806.03,Kepler-320 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.37159554,7.493e-05,-7.493e-05,137.68075,0.00864,-0.00864,0.983,0.018,-0.78,5.252,0.225,-0.225,98.0,6.2,-6.2,2.39,0.55,-0.68,1292.0,,,659.25,454.1,-356.1,16.6,3.0,q1_q17_dr25_tce,6426.0,175.0,-175.0,4.013,0.259,-0.13,1.775,0.411,-0.503,293.21356,46.175129,13.474
